Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline,Cluster
70,Carolina Gonzales (ESP),2.0,2.0,,00:00,55,-2 m,RED,0.0,DQOTHER,Triple Depth 2011,Competition,2011-06-23,other,2011-06-23,Carolina Gonzales,ESP,6,3,1,1
61,Carolina Schrappe (BRA),2.0,3.0,,00:00,71,-2 m,RED,0.0,DQOTHER,Vertical Blue 2011,Depth Competition,2011-04-17,VB,2011-04-17,Carolina Schrappe,BRA,4,28,21,0
64,Carolina Schrappe (BRA),2.0,3.0,,00:00,73,-2 m,RED,0.0,DQSP,Vertical Blue 2011,Depth Competition,2011-04-17,VB,2011-04-17,Carolina Schrappe,BRA,4,31,24,0
20,Carolina Schrappe (BRA),2.0,2.0,,00:00,69,69 m,RED,0.0,DQBO,Deja Blue 3,Mixed Competition,2012-05-04,other,2012-05-04,Carolina Schrappe,BRA,5,32,5,1
7,Cassandra Cooper (CAN),2.0,1.0,,00:00,51,51 m,RED,0.0,Dqtouch,Depth World Championship,Depth Competition,2021-09-26,World Championship,2021-09-26,Cassandra Cooper,CAN,9,3,2,2
12,Cassandra Cooper (CAN),2.0,2.0,1.0,11:30,70,70 m,RED,0,Dqsp,CAMOTES AIDA FREEDIVING CHALLENGE,Depth Competition,2023-03-31,other,2023-03-31,Cassandra Cooper,CAN,3,9,4,1
8,Cassandra Cooper (CAN),2.0,2.0,,00:00,85,13 m,RED,0,"No tag,under ap,dqsp",AIDA IDA ASIA Depth Challenge,Depth Competition,2023-05-17,other,2023-05-17,Cassandra Cooper,CAN,5,15,10,1
11,Cassandra Ebner (CAN),2.0,2.0,,00:00,18,4 m,RED,0.0,"No tag,under ap,dqsp",Howe Deep 2022 AIDA Freediving Depth Competition,Depth Competition,2022-09-04,other,2022-09-04,Cassandra Ebner,CAN,9,2,2,1
24,Catherine Charnley (AUS),2.0,1.0,,00:00,53,31 m,RED,-23.0,DQOTHER,Freedive Paradise 2014,Mixed Competition,2014-06-07,other,2014-06-07,Catherine Charnley,AUS,6,8,3,2
25,Catherine Charnley (AUS),2.0,1.0,,00:00,53,48 m,RED,-6.0,DQSP,Freedive Paradise 2014,Mixed Competition,2014-06-07,other,2014-06-07,Catherine Charnley,AUS,6,9,4,2
13,Chantal Marzin (FRA),2.0,1.0,,00:00,40,40 m,RED,0.0,Dqairways,AIDA WORLD CHAMPIONSHIPS PRE-COMPETITION ANDIKAT INTERREG V-A,Depth Competition,2021-09-16,World Championship,2021-09-16,Chantal Marzin,FRA,9,3,1,2
32,Chelse Goergen (USA),2.0,2.0,,00:00,32,32 m,RED,0.0,DQSP,Freedive Paradise 2015,Depth Competition,2015-08-21,other,2015-08-21,Chelse Goergen,USA,8,2,1,1
16,Chen Syuan Wu (TPE),2.0,2.0,1.0,11:48,56,51 m,RED,0.0,"Rpap,no tag,dqsp",Depth World Championship,Depth Competition,2022-08-19,World Championship,2022-08-19,Chen Syuan Wu,TPE,8,1,1,1
