Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event,Date,Name,Country,Month,Experience Dive,Experience Discipline
27,Agnieszka Wiatr (POL),2.0,2.0,,00:00,26,26 m,WHITE,26.0,Ok,Deepspot Aida Mini Comp,Depth Competition,2023-02-16,other,2023-02-16,Agnieszka Wiatr,POL,2,1,1
8,Ahreum Moon (KOR),2.0,3.0,,00:00,35,35 m,WHITE,35.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-24,Panglao,2018-05-24,Ahreum Moon,KOR,5,1,1
10,Ahreum Moon (KOR),2.0,3.0,,00:00,40,40 m,WHITE,40.0,-,Freedive Panglao Staff Competition,Depth Competition,2018-05-25,Panglao,2018-05-25,Ahreum Moon,KOR,5,2,2
4,Ahreum Moon (KOR),2.0,2.0,,00:00,40,40 m,WHITE,40.0,Ok,Freedive Panglao Staff Competition 2019,Depth Competition,2019-04-24,Panglao,2019-04-24,Ahreum Moon,KOR,4,3,1
3,Ahreum Moon (KOR),2.0,2.0,1.0,16:16,42,42 m,WHITE,42.0,Ok,SuperHOME CUP 2019 Freediving Competition,Depth Competition,2019-05-10,other,2019-05-10,Ahreum Moon,KOR,5,4,2
5,Ahreum Moon (KOR),2.0,3.0,,00:00,46,46 m,WHITE,46.0,Ok,SuperHOME CUP 2019 Freediving Competition,Depth Competition,2019-05-11,other,2019-05-11,Ahreum Moon,KOR,5,5,3
15,Ahreum Moon (KOR),2.0,3.0,1.0,18:24,50,50 m,WHITE,50.0,Ok,AIDA Dahab Championship  2nd,Depth Competition,2019-09-02,other,2019-09-02,Ahreum Moon,KOR,9,6,4
13,Ahreum Moon (KOR),2.0,3.0,,00:00,55,55 m,WHITE,55.0,Ok,AIDA Dahab Championship  2nd,Depth Competition,2019-09-04,other,2019-09-04,Ahreum Moon,KOR,9,7,5
14,Ahreum Moon (KOR),2.0,3.0,,00:00,60,60 m,WHITE,60.0,Ok,AIDA Dahab Championship  2nd,Depth Competition,2019-09-06,other,2019-09-06,Ahreum Moon,KOR,9,8,6
38,Ahyoung Suh (KOR),2.0,2.0,,00:00,15,15 m,WHITE,15.0,Ok,4th Freediving 815 AIDA Depth Competition,Depth Competition,2020-08-14,other,2020-08-14,Ahyoung Suh,KOR,8,1,1
3,Ahyoung Suh (KOR),2.0,2.0,,00:00,40,20 m,RED,0.0,"No tag,under ap,dqsp",2nd 2022 AIDA DFS&WHALES Recreational Competition,Depth Competition,2022-06-18,other,2022-06-18,Ahyoung Suh,KOR,6,2,2
26,Ahyoung Suh (KOR),2.0,3.0,,00:00,40,40 m,WHITE,40.0,Ok,2nd 2022 AIDA DFS&WHALES Recreational Competition,Depth Competition,2022-06-18,other,2022-06-18,Ahyoung Suh,KOR,6,3,1
4,Ai Futaki (JPN),2.0,1.0,,00:00,32,-2 m,RED,0.0,DQBO,Andaman AIDA Freediving Challenge 2008,Mixed Competition,2008-02-08,other,2008-02-08,Ai Futaki,JPN,2,1,1
58,Ai Futaki (JPN),2.0,3.0,,00:00,0,0 m,WHITE,0.0,OK,Deepwater Okinawa Cup 2008,Depth Competition,2008-08-10,other,2008-08-10,Ai Futaki,JPN,8,2,1
