,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Diver,remainder__AP,remainder__RP,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Experience Dive,remainder__Experience Discipline,remainder__Country
92,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Hubert Maier (DEU),0,60,60.0,OK,2000-01-01,1,1,1,DEU
93,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Peter Weinmann (CHE),0,55,55.0,OK,2000-01-01,1,0,0,CHE
94,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Hoarau (FRA),0,54,54.0,OK,2000-01-01,1,1,1,FRA
95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Brett Le Master (USA),0,53,53.0,OK,2000-01-01,1,2,2,USA
96,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Davide Carrera (ITA),0,57,57.0,OK,2000-01-01,1,1,1,ITA
97,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jean-Michel Pardon (FRA),0,67,67.0,OK,2000-01-01,1,1,1,FRA
98,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pierre Frolla (MCO),0,65,65.0,OK,2000-01-01,1,2,1,MCO
99,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pierre Frolla (MCO),0,73,73.0,OK,2000-08-03,8,3,1,MCO
100,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter (USA),70,70,70.0,OK,2001-05-06,5,1,0,USA
101,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Tanya Streeter (USA),70,70,70.0,OK,2001-05-11,5,2,1,USA
102,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Eric Fattah (CAN),82,82,82.0,OK,2001-08-11,8,1,1,CAN
103,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pierre Frolla (MCO),0,80,80.0,OK,2001-08-17,8,4,2,MCO
104,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Martin Stepanek (CZE),0,90,90.0,OK,2001-09-08,9,0,0,CZE
105,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mandy-Rae Cruickshank/Krack (CAN),0,50,50.0,OK,2001-11-10,11,1,1,CAN
